03 нояб. 2022 12:45:09,490 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,490 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,562 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,562 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,562 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,572 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,577 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,577 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,582 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,600 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,600 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,600 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,600 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,600 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,619 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,619 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,620 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,731 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,746 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,746 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,746 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,746 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,753 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,784 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,784 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,784 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,800 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,801 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,801 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,801 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,822 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,840 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,840 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,843 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,844 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,854 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,854 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,854 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,859 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,860 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,860 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,860 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,860 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,860 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:09,870 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,606 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,622 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,637 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,654 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,654 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:10,670 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 4480, Current connections count : 2
03 нояб. 2022 12:45:11,200 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:11,268 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:11,272 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:11,324 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 5916, Current connections count : 2
03 нояб. 2022 12:45:11,592 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 10832, Time : 373, Current connections count : 3
03 нояб. 2022 12:45:11,597 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10832, Current connections count : 3
03 нояб. 2022 12:45:11,604 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:11,645 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:11,645 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:11,645 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:11,761 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:11,762 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:14,794 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 10832, Current connections count : 3
03 нояб. 2022 12:45:14,796 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 10832, Current connections count : 3
03 нояб. 2022 12:45:23,002 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:23,003 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:23,011 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 4480, Current connections count : 3
03 нояб. 2022 12:45:38,156 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 4480, Current connections count : 3
