03 нояб. 2022 12:29:47,401  INFO StartLogger - Finalizing classes
03 нояб. 2022 12:29:47,401  INFO StartLogger - Checking for duplicate elements
03 нояб. 2022 12:29:47,401  INFO StartLogger - Finalizing groups
03 нояб. 2022 12:29:47,444  INFO StartLogger - Filling implicit cases
03 нояб. 2022 12:29:47,444  INFO StartLogger - Initializing lazy properties
03 нояб. 2022 12:29:47,444  INFO StartLogger - Initializing abstract properties
03 нояб. 2022 12:29:47,444  INFO StartLogger - Finalizing abstract actions
03 нояб. 2022 12:29:47,510  INFO StartLogger - Checking abstract
03 нояб. 2022 12:29:47,510  INFO StartLogger - Initializing class aggr props
03 нояб. 2022 12:29:47,510  INFO StartLogger - Initializing fields for data and materialized properties
03 нояб. 2022 12:29:47,629  INFO StartLogger - Looking for recursions in abstract actions / properties
03 нояб. 2022 12:29:47,653  INFO StartLogger - Finalizing tables
03 нояб. 2022 12:29:47,665  INFO StartLogger - Initializing indices
03 нояб. 2022 12:29:47,666  INFO StartLogger - Setup property policy
03 нояб. 2022 12:29:47,666  INFO StartLogger - Setup drill-down
03 нояб. 2022 12:29:47,666  INFO StartLogger - Finalizing navigator elements
03 нояб. 2022 12:29:47,666  INFO StartLogger - Setup reset files
03 нояб. 2022 12:29:47,833  INFO StartLogger - Initializing reflection events
03 нояб. 2022 12:29:47,833  INFO StartLogger - Showing dependencies
03 нояб. 2022 12:29:47,849  INFO StartLogger - Setup action policy
03 нояб. 2022 12:29:48,580  INFO StartLogger - Error starting server, server will be stopped.
03 нояб. 2022 12:29:48,580  INFO StartLogger - Server is stopping...
03 нояб. 2022 12:29:48,580  INFO StartLogger - Logics instance is stopping...
03 нояб. 2022 12:29:48,580  INFO StartLogger - Logics instance has stopped...
03 нояб. 2022 12:29:48,580  INFO StartLogger - Server has stopped...
03 нояб. 2022 12:44:52,171  INFO StartLogger - Server is starting...
03 нояб. 2022 12:44:53,747  INFO StartLogger - Logics instance is starting...
03 нояб. 2022 12:44:53,806  INFO StartLogger - Initializing BusinessLogics
03 нояб. 2022 12:44:53,827  INFO StartLogger - Initializing string literals data
03 нояб. 2022 12:44:53,827  INFO StartLogger - Creating modules
03 нояб. 2022 12:44:53,827  INFO StartLogger - Initializing localizer
03 нояб. 2022 12:44:54,583  INFO StartLogger - Initializing dependencies
03 нояб. 2022 12:44:54,736  INFO StartLogger - Initializing modules order
03 нояб. 2022 12:44:54,736  INFO StartLogger - Initializing metacodes and classes
03 нояб. 2022 12:44:55,446  INFO StartLogger - Initializing object class
03 нояб. 2022 12:44:55,452  INFO StartLogger - Initializing tables
03 нояб. 2022 12:44:55,548  INFO StartLogger - Initializing class tables
03 нояб. 2022 12:44:55,654  INFO StartLogger - Initializing full tables with one key
03 нояб. 2022 12:44:55,654  INFO StartLogger - Initializing main logic
03 нояб. 2022 12:44:55,676  INFO StartLogger - Initializing main logic for module : #1 of 46 System (actual: 1)
03 нояб. 2022 12:44:56,788  INFO StartLogger - Initializing main logic for module : #2 of 46 Image (actual: 18)
03 нояб. 2022 12:44:56,788  INFO StartLogger - Initializing main logic for module : #3 of 46 Sound (actual: 35)
03 нояб. 2022 12:44:56,789  INFO StartLogger - Initializing main logic for module : #4 of 46 Integration (actual: 27)
03 нояб. 2022 12:44:56,789  INFO StartLogger - Initializing main logic for module : #5 of 46 ProcessUtils (actual: 36)
03 нояб. 2022 12:44:56,789  INFO StartLogger - Initializing main logic for module : #6 of 46 HockeyStats (actual: 16)
03 нояб. 2022 12:44:56,789  INFO StartLogger - Initializing main logic for module : #8 of 46 DefaultData (actual: 13)
03 нояб. 2022 12:44:56,789  INFO StartLogger - Initializing main logic for module : #7 of 46 MasterData (actual: 7)
03 нояб. 2022 12:44:56,804  INFO StartLogger - Initializing main logic for module : #9 of 46 Time (actual: 2)
03 нояб. 2022 12:44:56,813  INFO StartLogger - Initializing main logic for module : #10 of 46 Printer (actual: 17)
03 нояб. 2022 12:44:56,843  INFO StartLogger - Initializing main logic for module : #11 of 46 OpenCV (actual: 42)
03 нояб. 2022 12:44:56,843  INFO StartLogger - Initializing main logic for module : #12 of 46 Com (actual: 32)
03 нояб. 2022 12:44:56,877  INFO StartLogger - Initializing main logic for module : #13 of 46 Numerator (actual: 19)
03 нояб. 2022 12:44:57,080  INFO StartLogger - Initializing main logic for module : #14 of 46 Utils (actual: 3)
03 нояб. 2022 12:44:57,188  INFO StartLogger - Initializing main logic for module : #15 of 46 Authentication (actual: 4)
03 нояб. 2022 12:44:57,188  INFO StartLogger - Initializing main logic for module : #16 of 46 Excel (actual: 25)
03 нояб. 2022 12:44:57,188  INFO StartLogger - Initializing main logic for module : #17 of 46 Hierarchy (actual: 24)
03 нояб. 2022 12:44:57,204  INFO StartLogger - Initializing main logic for module : #18 of 46 Schedule (actual: 43)
03 нояб. 2022 12:44:57,204  INFO StartLogger - Initializing main logic for module : #19 of 46 I18n (actual: 31)
03 нояб. 2022 12:44:57,237  INFO StartLogger - Initializing main logic for module : #20 of 46 Fax (actual: 45)
